Country Name,CPI_AnnualChange,GDP_Growth,MoneySupply_GDPpct,ExchangeRate_LCUperUSD,CPI_log,MoneySupply_log,ExchangeRate_log
Afghanistan,5.253529919536555,4.582871278656109,33.24119278206745,43.662639584234995,1.7813792258299845,3.5243221029917033,3.7628656160889626
Africa Eastern and Southern,10.17569769197974,3.1425065134716186,39.91699081865262,,2.3542457970374087,3.699408582534637,
Africa Western and Central,4.633680840330434,3.5692703998524165,37.42496909482528,,1.4618059786606872,3.2599270467989805,
Albania,14.359573124751105,2.9296476675070253,71.35183438445256,110.77660302208061,1.6547731348534098,4.2629315332530044,4.702734117780543
Algeria,8.529513271853164,3.5653753525117304,59.33540001677871,44.389203672849284,2.0206492360713537,4.074074023095051,3.0884369801982103
American Samoa,,-0.5422612367747479,,1.0,,,0.6931471805599453
Andorra,,2.6357678756766885,,0.911342292146919,,,0.6475886374157369
Angola,328.61542272401437,3.3678385020168067,27.42364846883039,83.14604618047572,4.019061317434411,3.293436929084806,1.901159763557884
Antigua and Barbuda,2.277022664410959,3.4063071858129144,68.14116740774602,2.4931539620684404,1.0025680310939562,4.199476706737962,1.2446686725611817
Arab World,5.594994650794544,4.486141423730041,47.4778712051601,,1.7596415656960909,3.81602322718016,
Argentina,,2.269842568949688,23.597552914182785,27.197413674399733,,3.1754151186917055,1.12503064674211
Armenia,118.73453221311085,3.7260729887337196,31.297336390179233,434.54490523975943,1.7763819240354366,3.2820010590319426,5.974912984587198
Aruba,2.9573969102312523,3.5376356416102417,63.93717992684765,1.79,1.299551449200672,4.150860088544303,1.0260415958332743
Australia,4.67956683532742,3.345210268112819,69.18864548872307,1.1822093854433453,1.540740809654686,4.166058395368826,0.7717962072456938
Austria,3.3634992864955398,2.5697306398191713,,11.305788199079512,1.368743750809133,,1.9936052220266893
Azerbaijan,101.957088737518,3.8850149592455514,26.912334124998093,1.0229279494201722,2.1696414451005444,3.2277165760470137,0.6756951540731374
"Bahamas, The",3.973894708737757,3.171343308021593,46.508600388877326,1.001884,1.4242655541983664,3.8265812874238994,0.694084406457285
Bahrain,3.428263801505724,4.608100192069882,57.84417527576119,0.38924634576705575,1.1166154876518577,4.044424346411415,0.32852455265980024
Bangladesh,6.4844072634242655,4.403908683498651,36.01871645764194,49.4254308329541,1.9597615878928356,3.477644868327587,3.715015864298932
Barbados,6.109529986045769,2.041938337442543,70.92537871312891,1.964086216667899,1.7195867036016086,4.203415161529775,1.0860468932148692
Belarus,162.98838202327155,2.401091980875018,26.042034168992455,0.9367903322767783,3.398165094730829,3.244928285282403,0.5295139252676813
Belgium,3.498708218546301,2.5590036183144003,,25.448756976600794,1.3430966760806187,,2.4901256613260343
Belize,2.4807122739042664,4.862615519483576,45.359160958815295,1.8933997390434127,1.1456219308893767,3.769179667074516,1.059686889714522
Benin,3.8389699833509607,3.9491903323645734,20.864250605306424,410.72947499700496,1.0829168729966263,3.026633371335628,5.9446909438294435
Bermuda,,2.4683205441246128,,0.9826003846153846,,,0.6841243167192541
Bhutan,7.112164868788116,6.1027439163956965,48.80603079756942,31.065067691829924,1.9978134506252252,3.8068808011215562,3.106557249335552
Bolivia,219.4274477896787,3.440367392986342,41.14619363485699,3.5843143744256407,2.310747410542762,3.496060162672279,1.1453892050813006
Bosnia and Herzegovina,2.332680808420158,5.937548278606405,53.298515145675665,1.6856790001711215,0.9118227548842929,3.9336107106374585,0.984888585281334
Botswana,8.761568573694722,7.417866944388236,35.33373637946562,4.152379956191743,2.1999329510303185,3.5464631811756746,1.360129001582579
Brazil,267.7297262373455,3.8589919786141524,48.256556303560664,1.2887883632435397,3.31206072612148,3.6438231862271158,0.5929766637468009
Brunei Darussalam,1.3938200650168386,0.8565407048249207,70.3377454833624,1.9944935308997227,0.6885594541303758,4.248836203001537,1.076093199202595
Bulgaria,51.69446337902383,1.8737847920712432,66.25706349353683,0.9701086751697844,2.2113556528449507,4.156277944611887,0.5699081580976074
