"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4848484848485","51.3058419243986","49.2602996254682","52.136546184739","55.6026296566837","56.9757847533632","58.3124708624709","54.9057246003094","53.7517040358744","53.3548223350254","52.6743319838057","49.6272428884026","51.620026836632","55.0936770428016","51.8345420279829","54.2204840664361","57.9092747102543","60.511730109102","56.6208316991428","57.4467898753702","56.1965622017724","53.5449985374437","58.7834892967479","69.2036602359509","71.8270449566809","66.8944344576015","73.0407417036104","67.4196284097139","69.5869442457704","71.74178162623","78.0121433360789","76.5954264225768","74.6354680894964","75.1733986128111","107.988155610529","102.322604404998","94.4425288441474","85.5542225249397","",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","33.6466227420881","28.9989998376807","29.4888908703073","30.578955812695","30.591518920066","33.7721796543158","33.2048906520365","34.26924107996","35.7452890177659","34.8411629987484","36.2379094856882","34.5995015874368","34.2539236200556","35.3178652326464","34.9776102275812","35.1590485404533","35.3894738429372","34.7806824030745","39.3950930427059","35.7622186681642","34.1963042402886","33.8368706363643","36.2804929860258","37.2159941461185","37.62919986885","35.6674885692675","35.4059956390311","37.8720532911077","35.7797678982783","36.5482166761643","37.1219496534744","37.321583995918","38.8082410551695","39.7515073542276","40.3072239525658","35.8457841272408","39.6065623316981","41.4243091287534","42.6484222448117","43.3708393696927","45.2295692558274","47.0916826733049","49.436034291511","49.125832452317","50.1960160141488","49.9448968852067","48.9585159363093","47.759516314631","45.4725647540006","45.5380116035219","47.346794587468","46.7408452530919","45.3636060042956","46.3993334464941","49.0243601733618","53.2255755512664","51.6131247510866","48.9167084519481","50.0695844992586","",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.5081887366299","","","","",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.2734109562782","11.4394127844665","11.7521749684738","11.7835916889082","12.887029867075","12.4855821414622","12.6109268987849","13.033481791497","14.0045352694813","14.3926361217571","12.7988771228835","12.9940139552511","13.5482719918209","14.174680056334","15.2054380184865","18.0207701680901","20.2088189298","22.4401846175563","21.4951531144491","21.8943314280208","25.0935851159765","12.884107180853","13.1728942269243","14.1867753832491","15.3193516143139","15.3360976465131","16.3771930273751","16.2880599984177","16.6783216788861","15.9842351537053","16.3887438497456","16.5429407408949","17.1510260306258","16.5522280025103","16.1708597276045","12.5340914056955","10.9038011545981","11.3007743255676","12.048428471902","14.4479607434408","15.2557274741759","112.432574239255","113.816509032841","107.868894347203","92.0304250329184","90.7029495175054","85.9587089185988","90.4476360041209","95.9408652852935","121.545978624749","109.936323079891","114.462714289244","127.782814702369","126.293340833874","136.053058402296","23.4466503699481","26.7727675618267","25.2047407012768","25.7729783363918","25.4669951071908","28.167705462454","29.1044735976181","29.5034246832758","","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.508367118858","13.553648470679","13.2998188926253","16.2733257364948","20.4468711883162","31.5205041653311","45.6081681117929","34.7747524653276","34.9788715890949","31.5177312017641","33.3315474060548","35.6755532005176","40.9446599162018","39.1623080560863","32.1865210912766","30.6464405237236","33.6927339334333","40.0699484385323","25.8629609992467","21.7605794469408","25.2199462334299","20.2414582790758",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","39.9003561002881","45.7254020794631","59.0068723402781","60.9371368808022","64.5783078882982","63.5599468122678","67.4664768586027","64.3805252433391","63.2967127997241","66.1759603765893","69.6480677719623","74.2421409522518","75.3629870166826","73.3334018869234","74.3824850094564","78.0331538048733","81.7533775274234","84.7935078469227","84.968214908499","85.2116447508147","84.1762421576985","84.8926416816837","80.2333904511715","76.1147973097136","77.0228458919593","87.9833302355803","84.7662925463855","77.1857393820813","71.6581172263509","",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","24.9644349995469","25.7075019878915","25.3216686063882","26.3938871018072","26.6145752377637","26.7126629027835","27.6648825158693","29.273850696077","30.1961365967312","30.6238535284448","29.8365447460371","28.8954605215496","31.3712310445229","30.6483547957204","21.2050401275215","25.8973261974208","27.1125519701979","29.8270956649297","34.5026242422245","30.9101060316685","28.3309517762727","31.750348128232","38.491667243304","45.1654262999903","49.4374367521853","54.3900121510304","60.9924044990413","61.7245344322972","63.2146296786443","58.4965622209006","50.6148102442281","51.0900977901956","53.2752148062314","54.8901753377056","54.8269301995541","53.6909131160379","51.8587982439782","52.5221254733883","57.8008072148348","57.0750840222324","53.7061197412462","60.0291201467069","63.0372651122431","61.9772443198496","58.3878933104951","54.9588551002085","55.3562142400451","59.7973185540121","57.0399348858778","71.7015878084856","66.0683383814131","60.9429199711435","59.758365202666","64.2743362735014","68.6827206531364","79.1399383961057","84.2674273506227","81.2722113061464","","","","","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","13.3454008054622","13.0838251384067","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","70.1952019533148","61.3639169956455","60.1534597054849","70.9553810234731","74.0022718305817","87.2764379108937","90.3667774468701","88.9808295861705","83.4278792380066","92.0588982108878","115.206585785508","102.510643142561","92.2732306191719","107.136213398346","117.499549183694",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200466971","22.4723059735342","24.5409673809534","25.867690551581","24.9557344126068","23.4115575468308","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.4406025952303","24.3871239938128","27.1756452732208","27.1962424074471","25.8217018451822","27.6908850429799","28.3723031009504","28.4952801666658","30.4107564833182","26.1830389518599","34.5052631692152","30.730954428888","32.2530706731084","36.0096126093202","26.5459593513783",
